iter	Passed	Remaining
0	161	23990
1	164	12178
2	167	8225
3	170	6227
4	178	5162
5	181	4349
6	183	3755
7	187	3333
8	193	3025
9	196	2750
10	199	2521
11	205	2362
12	212	2240
13	215	2094
14	219	1974
15	222	1864
16	225	1764
17	228	1674
18	231	1594
19	234	1523
20	237	1461
21	240	1401
22	243	1345
23	246	1294
24	249	1248
25	253	1210
26	256	1170
27	260	1133
28	262	1097
29	265	1063
30	270	1037
31	273	1007
32	276	978
33	278	951
34	281	926
35	286	906
36	289	882
37	291	860
38	294	839
39	297	818
40	301	802
41	305	784
42	307	765
43	310	748
44	313	732
45	324	733
46	331	727
47	335	712
48	338	698
49	342	685
50	346	672
51	349	659
52	353	646
53	367	654
54	379	655
55	387	649
56	393	641
57	398	631
58	401	619
59	414	621
60	418	611
61	425	603
62	431	596
63	435	584
64	438	572
65	443	564
66	447	554
67	450	543
68	453	532
69	467	533
70	471	524
71	477	517
72	480	506
73	483	496
74	488	488
75	494	481
76	497	472
77	501	462
78	508	456
79	511	447
80	514	438
81	517	429
82	524	423
83	527	414
84	530	405
85	534	397
86	541	392
87	545	384
88	548	375
89	560	373
90	564	365
91	569	359
92	574	352
93	577	344
94	580	336
95	583	328
96	589	321
97	592	314
98	595	306
99	598	299
100	605	293
101	608	286
102	611	278
103	614	271
104	618	265
105	622	258
106	625	251
107	628	244
108	632	238
109	637	231
110	640	225
111	643	218
112	646	211
113	652	206
114	657	199
115	660	193
116	664	187
117	669	181
118	673	175
119	676	169
120	681	163
121	686	157
122	689	151
123	700	146
124	704	140
125	707	134
126	710	128
127	718	123
128	721	117
129	724	111
130	729	105
131	734	100
132	737	94
133	741	88
134	747	83
135	751	77
136	754	71
137	759	66
138	764	60
139	767	54
140	770	49
141	773	43
142	779	38
143	786	32
144	790	27
145	796	21
146	799	16
147	802	10
148	805	5
149	813	0
