Sorteo,Fecha,B1,B2,B3,B4,B5,B6,Plus
3365,2021-06-13,15,20,27,28,37,42,06
3366,2021-06-16,06,08,10,18,30,31,06
3367,2021-06-19,07,18,26,41,44,45,09
3368,2021-06-23,06,08,11,13,20,28,01
3369,2021-06-26,08,17,20,28,33,41,09
3370,2021-06-30,04,10,23,25,30,41,09
3371,2021-07-03,00,13,28,37,38,41,08
3372,2021-07-06,00,26,28,29,33,44,01
3373,2021-07-09,13,20,28,32,33,45,09
3374,2021-07-12,03,04,07,21,32,43,02
3375,2021-07-16,07,11,14,23,38,42,04
3376,2021-07-20,26,30,32,33,34,36,09
3377,2021-07-23,11,12,14,27,31,38,03
3378,2021-07-26,07,11,21,39,40,43,04
3379,2021-07-30,01,07,27,28,31,39,06
3380,2021-08-03,01,04,18,23,28,40,03
3381,2021-08-06,06,09,12,13,20,42,06
3382,2021-08-09,01,02,17,34,36,37,01
3383,2021-08-13,06,16,31,37,41,45,00
3384,2021-08-17,08,25,31,34,36,43,08
3385,2021-08-20,00,03,07,15,28,40,05
3386,2021-08-24,08,10,15,17,25,43,04
3387,2021-08-27,04,08,13,23,29,45,05
3388,2021-08-30,05,10,24,27,29,31,06
3389,2021-09-02,01,21,23,24,31,32,07
3390,2021-09-05,01,21,28,32,35,38,07
3391,2021-09-09,07,12,13,15,16,35,04
3392,2021-09-12,00,17,19,27,35,44,04
3393,2021-09-16,03,21,31,33,34,43,03
3394,2021-09-19,00,06,08,20,22,27,04
3395,2021-09-22,01,09,33,37,42,45,02
3396,2021-09-26,02,04,12,25,30,34,04
3397,2021-09-29,13,14,20,26,31,35,09
3398,2021-10-03,05,11,13,17,31,41,04
3399,2021-10-06,03,05,10,14,23,41,05
3400,2021-10-09,01,07,10,14,17,29,08
3401,2021-10-12,04,08,10,24,32,39,03
3402,2021-10-15,07,09,10,15,30,32,09
3403,2021-10-19,12,22,28,35,42,43,06
3404,2021-10-23,00,10,14,30,31,41,02
3405,2021-10-26,00,02,15,27,30,45,05
3406,2021-10-30,06,07,09,11,32,44,05
3407,2021-11-02,06,14,16,21,34,40,09
3408,2021-11-06,05,20,24,29,32,35,05
3409,2021-11-10,03,08,20,24,32,34,01
3410,2021-11-13,05,19,26,32,43,45,08
3411,2021-11-16,05,16,28,29,37,43,03
3412,2021-11-19,13,17,20,23,33,37,02
3413,2021-11-22,09,22,30,34,39,40,04
3414,2021-11-26,02,08,24,28,29,30,07
3415,2021-11-30,00,11,18,26,28,29,04
3416,2021-12-04,02,09,13,23,32,37,05
3417,2021-12-08,04,10,11,30,35,42,04
3418,2021-12-11,10,25,30,37,41,43,04
3419,2021-12-14,00,06,12,26,37,44,07
3420,2021-12-18,06,19,22,32,39,45,03
3421,2021-12-21,00,01,03,08,32,37,00
3422,2021-12-25,03,10,18,23,24,43,02
3423,2021-12-28,06,13,15,20,28,33,02
3424,2021-12-31,03,19,23,38,39,45,02
3425,2022-01-04,02,07,08,21,41,44,05
3426,2022-01-07,02,03,05,06,16,31,01
3427,2022-01-10,02,06,17,27,41,42,07
3428,2022-01-14,05,12,13,20,23,26,02
3429,2022-01-17,01,13,25,37,43,45,04
3430,2022-01-20,14,18,22,26,31,39,01
3431,2022-01-24,18,21,32,34,35,36,01
3432,2022-01-27,08,09,21,31,38,40,06
3433,2022-01-30,02,05,06,30,35,39,07
3434,2022-02-03,04,19,22,26,30,41,03
3435,2022-02-07,24,27,28,34,37,41,07
3436,2022-02-10,01,11,12,20,26,42,03
3437,2022-02-14,10,15,17,18,23,28,05
3438,2022-02-17,05,06,16,17,18,40,04
3439,2022-02-20,12,14,29,35,43,44,07
3440,2022-02-24,06,07,10,33,38,45,09
3441,2022-02-27,00,07,10,17,19,41,00
3442,2022-03-03,02,07,09,12,19,45,03
3443,2022-03-06,01,13,21,24,33,34,04
3444,2022-03-10,07,13,16,28,31,43,02
3445,2022-03-14,02,14,17,25,38,44,04
3446,2022-03-18,11,15,24,37,38,41,03
3447,2022-03-21,04,09,12,16,35,45,07
3448,2022-03-24,00,11,18,23,28,35,01
3449,2022-03-27,10,11,24,28,31,40,08
3450,2022-03-30,03,06,14,31,32,34,00
3451,2022-04-02,03,05,16,20,21,44,01
3452,2022-04-06,07,09,14,16,22,33,09
3453,2022-04-10,06,17,24,37,38,43,06
3454,2022-04-13,07,21,23,24,36,37,06
3455,2022-04-16,15,16,25,33,40,45,00
3456,2022-04-20,09,15,23,35,37,43,00
3457,2022-04-24,06,11,16,26,29,41,01
3458,2022-04-27,13,14,19,21,28,33,01
3459,2022-04-30,21,22,26,27,32,42,09
3460,2022-05-04,00,16,23,25,28,41,06
3461,2022-05-07,04,12,14,24,38,45,01
3462,2022-05-10,18,20,24,27,29,34,05
3463,2022-05-14,04,08,31,32,37,44,07
3464,2022-05-17,12,15,26,29,37,40,05
3465,2022-05-20,07,09,10,12,37,38,06
3466,2022-05-23,02,08,18,28,29,33,01
3467,2022-05-27,06,13,26,34,40,41,03
3468,2022-05-30,05,16,25,35,43,44,07
3469,2022-06-02,01,02,05,14,21,41,06
3470,2022-06-05,03,20,26,27,37,40,05
3471,2022-06-09,14,19,20,23,24,42,08
3472,2022-06-12,01,02,20,28,42,44,08
3473,2022-06-16,14,20,26,27,30,36,07
3474,2022-06-19,08,14,18,29,30,45,09
3475,2022-06-22,09,19,35,36,40,41,09
3476,2022-06-26,18,22,23,30,32,44,04
3477,2022-06-29,20,24,25,32,41,44,09
3478,2022-07-02,01,06,13,17,34,40,01
3479,2022-07-05,01,08,13,28,38,45,04
3480,2022-07-09,01,02,21,32,35,45,03
3481,2022-07-13,18,20,22,27,32,42,00
3482,2022-07-16,04,08,10,15,19,32,09
3483,2022-07-20,00,04,12,32,41,44,07
3484,2022-07-24,21,24,29,35,37,44,03
3485,2022-07-28,01,26,32,34,36,45,05
3486,2022-07-31,33,37,40,41,43,45,02
3487,2022-08-03,05,08,10,17,21,43,06
3488,2022-08-06,02,05,13,17,30,32,07
3489,2022-08-09,06,10,15,16,34,38,08
3490,2022-08-13,06,15,17,30,41,42,09
3491,2022-08-16,07,11,14,27,40,41,02
3492,2022-08-19,04,06,10,20,34,43,05
3493,2022-08-22,00,12,13,27,28,37,03
3494,2022-08-25,00,09,10,11,20,28,06
3495,2022-08-29,07,09,13,25,32,43,06
3496,2022-09-02,04,09,18,33,36,43,03
3497,2022-09-06,14,23,27,34,36,40,01
