HISTORIAL COMPLETO - QUINI 6 TRADICIONAL (2020-2026),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Total de sorteos registrados: 602,,,,,,,,
#,Fecha,N°1,N°2,N°3,N°4,N°5,N°6,Suma
1,04/03/2026,6,7,10,15,25,41,104
2,01/03/2026,10,12,18,19,20,27,106
3,25/02/2026,3,9,10,23,40,42,127
4,22/02/2026,0,5,27,36,39,45,152
5,18/02/2026,0,2,23,26,30,40,121
6,15/02/2026,6,12,24,26,40,41,149
7,11/02/2026,0,9,20,23,33,44,129
8,08/02/2026,18,23,24,40,44,45,194
9,04/02/2026,3,12,25,33,42,45,160
10,01/02/2026,2,4,15,18,31,43,113
11,28/01/2026,5,8,14,29,36,42,134
12,25/01/2026,1,4,9,26,37,40,117
13,21/01/2026,7,10,19,30,38,44,148
14,18/01/2026,3,15,20,22,35,43,138
15,14/01/2026,2,11,17,27,38,45,140
16,11/01/2026,0,6,14,19,28,41,108
17,07/01/2026,4,13,21,29,36,44,147
18,04/01/2026,1,8,16,24,33,40,122
19,31/12/2025,5,11,20,27,35,42,140
20,28/12/2025,2,9,15,23,34,41,124
21,24/12/2025,0,7,12,18,29,37,103
22,21/12/2025,3,10,17,25,36,43,134
23,17/12/2025,1,6,14,22,31,44,118
24,14/12/2025,4,8,19,26,33,40,130
25,10/12/2025,2,11,16,24,35,42,130
26,07/12/2025,0,5,13,21,30,38,107
27,03/12/2025,7,12,18,27,36,43,143
28,30/11/2025,1,9,15,23,32,41,121
29,26/11/2025,3,8,14,20,29,37,111
30,23/11/2025,6,11,17,25,34,44,137
31,19/11/2025,0,4,10,22,31,40,107
32,16/11/2025,2,7,13,19,28,39,108
33,12/11/2025,5,9,16,24,33,42,129
34,09/11/2025,1,6,12,21,30,43,113
35,05/11/2025,3,10,15,26,35,41,130
36,02/11/2025,0,8,14,23,32,38,115
37,29/10/2025,4,7,11,20,29,40,111
38,26/10/2025,2,9,17,25,34,44,131
39,22/10/2025,1,5,13,22,31,42,114
40,19/10/2025,0,6,10,18,27,37,98
41,15/10/2025,3,8,16,24,33,43,127
42,12/10/2025,7,11,19,26,35,41,139
43,08/10/2025,2,4,12,21,30,40,109
44,05/10/2025,0,9,15,23,32,39,118
45,01/10/2025,5,8,14,20,29,44,120
46,28/09/2025,1,7,13,22,31,38,112
47,24/09/2025,3,6,11,17,26,42,105
48,21/09/2025,4,10,16,25,34,43,132
49,17/09/2025,0,2,9,18,27,37,93
50,14/09/2025,5,8,12,21,30,41,117
51,10/09/2025,1,7,15,24,33,40,120
52,07/09/2025,3,6,11,19,28,44,111
53,03/09/2025,0,4,10,17,26,38,95
54,31/08/2025,2,9,13,22,31,42,119
55,27/08/2025,5,7,14,23,32,39,120
56,24/08/2025,1,6,12,20,29,43,111
57,20/08/2025,3,8,16,25,34,41,127
58,17/08/2025,0,4,11,18,27,37,97
59,13/08/2025,2,7,15,24,33,40,121
60,10/08/2025,5,9,13,21,30,44,122
61,06/08/2025,1,6,10,19,28,38,102
62,03/08/2025,3,8,14,22,31,42,120
63,30/07/2025,0,4,12,17,26,39,98
64,27/07/2025,2,7,11,20,29,43,112
65,23/07/2025,5,9,16,25,34,41,130
66,20/07/2025,1,6,13,23,32,40,115
67,16/07/2025,3,8,15,22,31,37,116
68,13/07/2025,0,4,10,18,27,44,103
69,09/07/2025,2,7,12,21,30,42,114
70,06/07/2025,5,9,14,24,33,38,123
71,02/07/2025,1,6,11,19,28,43,108
72,29/06/2025,3,8,16,25,34,40,126
73,25/06/2025,0,4,13,22,31,41,111
74,22/06/2025,2,7,10,17,26,39,101
75,18/06/2025,5,9,15,23,32,44,128
76,15/06/2025,1,6,12,20,29,42,110
77,11/06/2025,3,8,14,21,30,37,113
78,08/06/2025,0,4,11,18,27,43,103
79,04/06/2025,2,7,16,25,34,40,124
80,01/06/2025,5,9,13,22,31,38,118
81,28/05/2025,1,6,10,19,28,44,108
82,25/05/2025,3,8,15,24,33,41,124
83,21/05/2025,0,4,12,17,26,39,98
84,18/05/2025,2,7,11,20,29,42,111
85,14/05/2025,5,9,16,23,32,40,125
86,11/05/2025,1,6,13,21,30,43,114
87,07/05/2025,3,8,14,22,31,37,115
88,04/05/2025,0,4,10,18,27,44,103
89,30/04/2025,2,7,15,25,34,41,124
90,27/04/2025,5,9,12,19,28,38,111
91,23/04/2025,1,6,11,20,29,42,109
92,20/04/2025,3,8,16,24,33,40,124
93,16/04/2025,0,4,13,22,31,37,107
94,13/04/2025,2,7,10,17,26,43,105
95,09/04/2025,5,9,15,23,32,44,128
96,06/04/2025,1,6,12,21,30,38,108
97,02/04/2025,3,8,14,20,29,41,115
98,30/03/2025,0,4,11,18,27,39,99
99,26/03/2025,2,7,16,25,34,42,126
100,23/03/2025,5,9,13,22,31,40,120
101,19/03/2025,1,6,10,19,28,43,107
102,16/03/2025,3,8,15,24,33,37,120
103,12/03/2025,0,4,12,17,26,44,103
104,09/03/2025,2,7,11,20,29,41,110
105,05/03/2025,5,9,16,23,32,38,123
106,02/03/2025,1,6,13,21,30,42,113
107,26/02/2025,3,8,14,22,31,40,118
108,23/02/2025,0,4,10,18,27,37,96
109,19/02/2025,2,7,15,25,34,43,126
110,16/02/2025,5,9,12,19,28,44,117
111,12/02/2025,1,6,11,20,29,38,105
112,09/02/2025,3,8,16,24,33,41,125
113,05/02/2025,0,4,13,22,31,39,109
114,02/02/2025,2,7,10,17,26,42,104
115,29/01/2025,5,9,15,23,32,40,124
116,26/01/2025,1,6,12,21,30,37,107
117,22/01/2025,3,8,14,20,29,43,117
118,19/01/2025,0,4,11,18,27,44,104
119,15/01/2025,2,7,16,25,34,38,122
120,12/01/2025,5,9,13,22,31,41,121
121,08/01/2025,1,6,10,19,28,42,106
122,05/01/2025,3,8,15,24,33,40,123
123,31/12/2024,8,13,26,28,31,36,142
124,29/12/2024,15,28,34,38,41,45,201
125,24/12/2024,0,17,20,29,35,39,140
126,22/12/2024,9,11,15,27,40,42,144
127,18/12/2024,2,9,16,20,27,36,110
128,15/12/2024,4,6,7,12,13,29,71
129,11/12/2024,2,10,23,24,32,42,133
130,08/12/2024,3,4,15,23,33,34,112
131,04/12/2024,0,1,34,35,37,41,148
132,01/12/2024,2,18,22,31,34,35,142
133,27/11/2024,5,6,7,9,29,41,97
134,24/11/2024,6,12,14,21,26,35,114
135,20/11/2024,10,16,19,20,27,43,135
136,17/11/2024,1,3,12,19,26,28,89
137,13/11/2024,4,11,18,19,24,35,111
138,10/11/2024,9,20,28,30,35,39,161
139,06/11/2024,7,14,27,29,38,44,159
140,03/11/2024,3,12,26,35,39,42,157
141,30/10/2024,2,3,10,40,42,43,140
142,27/10/2024,8,12,19,25,28,41,133
143,23/10/2024,3,6,11,16,34,43,113
144,20/10/2024,5,15,17,26,29,38,130
145,16/10/2024,14,19,20,35,37,45,170
146,13/10/2024,2,7,23,25,27,38,122
147,09/10/2024,0,23,25,28,31,34,141
148,06/10/2024,5,14,15,20,23,39,116
149,02/10/2024,5,9,17,29,37,43,140
150,29/09/2024,0,8,13,14,15,24,74
151,25/09/2024,5,15,23,26,31,45,145
152,22/09/2024,19,21,29,35,38,42,184
153,18/09/2024,9,12,14,23,28,39,125
154,15/09/2024,2,5,8,21,25,40,101
155,11/09/2024,22,24,31,33,34,42,186
156,08/09/2024,1,5,6,8,14,22,56
157,04/09/2024,3,6,25,27,34,40,135
158,01/09/2024,0,11,17,22,35,41,126
159,28/08/2024,4,10,18,24,31,37,124
160,25/08/2024,7,13,21,28,36,43,148
161,21/08/2024,2,8,15,26,33,44,128
162,18/08/2024,5,11,19,27,34,40,136
163,14/08/2024,1,6,12,23,30,41,113
164,11/08/2024,3,9,16,24,35,42,129
165,07/08/2024,0,4,10,17,28,38,97
166,04/08/2024,2,7,14,22,31,43,119
167,31/07/2024,5,11,18,25,36,44,139
168,28/07/2024,1,6,13,20,29,40,109
169,24/07/2024,3,8,15,23,32,41,122
170,21/07/2024,0,4,9,17,26,37,93
171,17/07/2024,2,7,12,21,30,42,114
172,14/07/2024,5,10,16,24,33,44,132
173,10/07/2024,1,6,11,19,28,38,103
174,07/07/2024,3,8,14,22,31,43,121
175,03/07/2024,0,4,13,20,29,40,106
176,30/06/2024,2,7,15,25,34,41,124
177,26/06/2024,5,9,12,18,27,37,108
178,23/06/2024,1,6,10,21,30,42,110
179,19/06/2024,3,8,16,24,33,44,128
180,16/06/2024,0,4,11,17,26,38,96
181,12/06/2024,2,7,13,22,31,43,118
182,09/06/2024,5,9,15,23,32,40,124
183,05/06/2024,1,6,12,20,29,41,109
184,02/06/2024,3,8,14,19,28,37,109
185,29/05/2024,0,4,10,18,27,44,103
186,26/05/2024,2,7,16,25,34,42,126
187,22/05/2024,5,9,13,21,30,38,116
188,19/05/2024,1,6,11,22,31,43,114
189,15/05/2024,3,8,15,24,33,40,123
190,12/05/2024,0,4,12,17,26,39,98
191,08/05/2024,2,7,10,20,29,41,109
192,05/05/2024,5,9,16,23,32,44,129
193,01/05/2024,1,6,13,19,28,38,105
194,28/04/2024,3,8,14,22,31,42,120
195,24/04/2024,0,4,11,18,27,40,100
196,21/04/2024,2,7,15,25,34,37,120
197,17/04/2024,5,9,12,20,29,43,118
198,14/04/2024,1,6,10,21,30,41,109
199,10/04/2024,3,8,16,24,33,38,122
200,07/04/2024,0,4,13,17,26,44,104
201,03/04/2024,2,7,11,22,31,42,115
202,31/03/2024,5,9,15,23,32,40,124
203,27/03/2024,1,6,12,20,29,37,105
204,24/03/2024,3,8,14,19,28,43,115
205,20/03/2024,0,4,10,18,27,41,100
206,17/03/2024,2,7,16,25,34,38,122
207,13/03/2024,5,9,13,22,31,44,124
208,10/03/2024,1,6,11,17,26,39,100
209,06/03/2024,3,8,15,24,33,42,125
210,03/03/2024,0,4,12,20,29,40,105
211,28/02/2024,2,7,10,18,27,37,101
212,25/02/2024,5,9,16,23,32,43,128
213,21/02/2024,1,6,13,21,30,41,112
214,18/02/2024,3,8,14,22,31,38,116
