Sorteo,Fecha,B1,B2,B3,B4,B5,B6,Plus
3368,2026-04-26,16,17,20,28,30,42,00
3367,2026-04-22,00,10,12,20,30,37,00
3366,2026-04-19,05,06,32,33,35,38,00
3365,2026-04-15,04,06,07,09,24,35,00
3364,2026-04-12,01,14,33,38,41,44,00
3363,2026-04-08,01,16,31,32,34,44,00
3362,2026-04-05,02,04,05,13,17,40,00
3361,2026-04-01,20,22,27,29,34,43,00
3360,2026-03-29,01,09,15,18,19,38,00
3359,2026-03-25,10,13,18,28,34,37,00
3358,2026-03-22,05,11,18,19,24,36,00
3357,2026-03-18,03,18,22,26,34,44,00
3356,2026-03-15,04,08,14,15,19,31,00
3355,2026-03-11,09,11,12,14,18,20,00
3354,2026-03-08,00,06,10,13,21,37,00
1,2026-03-04,6,7,10,15,25,41,00
2,2026-03-01,10,12,18,19,20,27,00
3,2026-02-25,3,9,10,23,40,42,00
4,2026-02-22,0,5,27,36,39,45,00
5,2026-02-18,0,2,23,26,30,40,00
6,2026-02-15,6,12,24,26,40,41,00
7,2026-02-11,0,9,20,23,33,44,00
8,2026-02-08,18,23,24,40,44,45,00
9,2026-02-04,3,12,25,33,42,45,00
10,2026-02-01,2,4,15,18,31,43,00
11,2026-01-28,5,8,14,29,36,42,00
12,2026-01-25,1,4,9,26,37,40,00
13,2026-01-21,7,10,19,30,38,44,00
14,2026-01-18,3,15,20,22,35,43,00
15,2026-01-14,2,11,17,27,38,45,00
16,2026-01-11,0,6,14,19,28,41,00
17,2026-01-07,4,13,21,29,36,44,00
18,2026-01-04,1,8,16,24,33,40,00
19,2025-12-31,5,11,20,27,35,42,00
20,2025-12-28,2,9,15,23,34,41,00
21,2025-12-24,0,7,12,18,29,37,00
22,2025-12-21,3,10,17,25,36,43,00
23,2025-12-17,1,6,14,22,31,44,00
24,2025-12-14,4,8,19,26,33,40,00
25,2025-12-10,2,11,16,24,35,42,00
26,2025-12-07,0,5,13,21,30,38,00
27,2025-12-03,7,12,18,27,36,43,00
28,2025-11-30,1,9,15,23,32,41,00
29,2025-11-26,3,8,14,20,29,37,00
30,2025-11-23,6,11,17,25,34,44,00
31,2025-11-19,0,4,10,22,31,40,00
32,2025-11-16,2,7,13,19,28,39,00
